MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
001826,214.9434526,52.8641011,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001835,215.0409662,52.9323618,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001836,215.0871958,52.9649047,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001912,215.0108339,53.013327,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001953,214.9982666,52.9947428,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001981,214.8212747,52.8644714,True,True,False,False,False,False,False,False,False,False,False,False,False,False
002000,214.859629,52.88813,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002036,215.0144487,52.9939022,False,False,True,False,False,False,False,False,False,False,False,False,False,False
002089,214.9991752,52.9733008,False,False,True,True,False,False,False,False,False,False,False,False,False,False
002116,214.8116852,52.8372405,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002123,214.8245795,52.8457265,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002140,214.796009,52.7158781,False,False,False,False,False,False,False,False,False,False,False,False,False,True
002158,214.8211156,52.8359538,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002165,215.1696668,53.0715179,False,False,False,False,True,True,False,False,False,False,False,False,False,False
002168,215.1526021,53.0570621,False,False,False,False,True,True,False,False,False,False,False,False,False,False
002169,215.181886,53.0712279,False,False,False,False,True,True,False,False,False,False,False,False,False,False
002170,215.05525,52.9802526,False,False,True,True,False,False,False,False,False,False,False,False,False,False
002174,215.0834205,52.991513,False,False,False,False,False,False,True,True,False,False,False,False,False,False
002182,215.0612963,52.9578843,False,False,False,False,False,False,True,True,False,False,False,False,False,False
002184,215.0688022,52.9572796,False,False,False,True,False,False,False,False,False,False,False,False,False,False
002188,214.9654817,52.8793254,False,False,False,False,False,False,False,False,False,False,True,False,False,False
002269,215.0665729,52.9812324,False,False,True,False,False,False,False,False,False,False,False,False,False,False
002287,215.0457916,52.9420735,False,False,False,False,False,False,False,False,True,False,False,False,False,False
002317,214.9915515,53.0060493,False,False,False,True,False,False,False,False,False,False,False,False,False,False
002320,215.0007771,52.9896385,False,False,True,False,False,False,False,False,False,False,False,False,False,False
002345,214.8791669,52.8691786,False,False,False,False,False,False,False,False,False,False,True,False,True,False
002348,214.8818435,52.8463743,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002355,215.0084888,52.9779728,False,False,True,False,False,False,False,False,False,False,False,False,False,False
002362,214.8645053,52.8709642,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002411,214.8396926,52.8717262,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002422,214.9887087,52.9886209,False,False,False,True,False,False,False,False,False,False,False,False,False,False
002452,214.8657757,52.8834168,True,False,False,False,False,False,False,False,False,False,False,False,False,False
002508,214.8769394,52.860389,False,False,False,False,False,False,False,False,False,False,True,True,False,False
002514,214.8706678,52.8461068,False,True,False,False,False,False,False,False,False,False,False,False,False,False
002549,214.8694045,52.8525357,False,False,False,False,False,False,False,False,False,False,False,False,True,False
002552,214.8385354,52.8850214,True,False,False,False,False,False,False,False,False,False,False,False,False,False
